sample_name,T_original,robustness_score,fails_first_at_condition,fails_first_at_severity
test/24July_2011_Sunday_tagesschau-6632,41,10,head_trunc,20
test/24August_2009_Monday_heute-6642,101,30,head_trunc,40
test/24August_2009_Monday_heute-6643,50,0,head_trunc,10
test/24August_2009_Monday_heute-6648,137,50,none,none
test/18April_2010_Sunday_tagesschau-6663,161,40,head_trunc,50
test/24February_2011_Thursday_heute-6666,118,40,tail_contam,50
test/01April_2010_Thursday_heute-6704,28,0,head_contam,10
test/01April_2010_Thursday_heute-6705,36,0,head_trunc,10
test/08July_2011_Friday_tagesschau-6727,117,20,head_trunc,30
test/08July_2011_Friday_tagesschau-6729,153,20,tail_trunc,30
test/23July_2009_Thursday_tagesschau-6750,108,50,none,none
test/23July_2009_Thursday_tagesschau-6751,137,0,head_trunc,10
test/23July_2009_Thursday_tagesschau-6752,30,0,head_trunc,10
test/02June_2010_Wednesday_heute-6789,89,40,head_trunc,50
test/18February_2011_Friday_tagesschau-6825,96,30,head_contam,40
test/10May_2010_Monday_tagesschau-6854,154,50,none,none
test/06July_2011_Wednesday_tagesschau-6865,48,10,tail_contam,20
test/08November_2010_Monday_heute-6874,47,20,head_contam,30
test/08November_2010_Monday_heute-6875,36,0,head_trunc,10
test/10August_2009_Monday_heute-6893,140,0,head_contam,10
test/10August_2009_Monday_heute-6897,81,30,tail_trunc,40
test/10August_2009_Monday_heute-6902,104,40,tail_trunc,50
test/10August_2009_Monday_heute-6903,64,30,head_trunc,40
test/08November_2010_Monday_tagesschau-6922,126,20,head_contam,30
test/13December_2010_Monday_tagesschau-6940,123,30,tail_contam,40
test/13December_2010_Monday_tagesschau-6944,33,30,head_trunc,40
test/01June_2011_Wednesday_tagesschau-6952,78,10,tail_trunc,20
test/15December_2009_Tuesday_tagesschau-6963,109,0,tail_trunc,10
test/24January_2011_Monday_heute-6981,176,30,head_trunc,40
test/18January_2011_Tuesday_tagesschau-6987,108,50,none,none
test/18January_2011_Tuesday_tagesschau-6989,82,10,head_trunc,20
test/17January_2011_Monday_tagesschau-7005,132,30,tail_trunc,40
test/29November_2009_Sunday_tagesschau-7044,65,20,head_trunc,30
test/29November_2009_Sunday_tagesschau-7045,75,0,head_contam,10
test/25August_2009_Tuesday_tagesschau-7085,136,30,head_trunc,40
test/25August_2009_Tuesday_tagesschau-7086,62,20,tail_contam,30
test/25August_2009_Tuesday_tagesschau-7092,113,40,head_trunc,50
test/07December_2009_Monday_tagesschau-7103,56,50,none,none
test/30March_2011_Wednesday_tagesschau-7125,94,50,none,none
test/01May_2010_Saturday_tagesschau-7194,123,50,none,none
test/01May_2010_Saturday_tagesschau-7195,132,40,tail_trunc,50
